awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
National Academies, The	Ford Foundation Fellowships/Dissertation	Leder-Luis, Jetson	2019	Leder-luis, Jetson	Not Designated	6	2010s	Standard Award	True	American Sociological Association | Social Psychology Section/Graduate Student Paper Award	Sociology - Articles-Focused	National Academies, The | Ford Foundation Fellowships/Dissertation	1.0	1.0	6.0
National Bureau of Economic Research(NBER)	NBER Affiliated Scholars	Jetson Leder-Luis	2022	Leder-luis, Jetson	Not Designated	3	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Economics, General	National Bureau of Economic Research(NBER) | NBER Affiliated Scholars	2.0	1.0	13.5
Pennsylvania State University, The	Arthur W. Page Center/Legacy Scholar Grants	Rosalynn Vasquez	2022	Vasquez, Rosalynn	Not Designated	3	2020s	Standard Award	True	American Academy of Advertising | AAA Research Fellowship Grant	Communication and Communication Studies - Articles-Focused	Pennsylvania State University, The | Arthur W. Page Center/Legacy Scholar Grants	1.0	0.2	12.0
Pennsylvania State University, The	Arthur W. Page Center/Legacy Scholar Grants	Rosalynn Vasquez	2024	Vasquez, Rosalynn	Not Designated	1	2020s	Standard Award	True	American Academy of Advertising | AAA Research Fellowship Grant	Communication and Communication Studies - Articles-Focused	Pennsylvania State University, The | Arthur W. Page Center/Legacy Scholar Grants	1.0	0.2	12.0
Department of Defense (DOD)	Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA)	Joerg Werner	2023	Werner, Joerg	Not Designated	2	2020s	Standard Award	True	Adobe Systems | Data Science Research Awards	Mass Communications/Media Studies - Articles-Focused	Department of Defense (DOD) | Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA)	1.0	1.0	8.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Huggins, Jonathan	2024	Huggins, Jonathan	Prestigious	1	2020s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Academy of Management	Organization and Management Theory Division/Best Paper on Environmental and Social Practices	Leroy Gonsalves	2022	Gonsalves, Leroy	Not Designated	3	2020s	Standard Award	True	Academy of Management | AOM Fellow	Management	Academy of Management | Organization and Management Theory Division/Best Paper on Environmental and Social Practices	1.0	0.05	22.0
American Institute of Graphic Arts (AIGA)	50 Books/50 Covers	Christopher Sleboda?	2014	Sleboda, Christopher	Not Designated	11	2010s	Standard Award	False	American Institute of Graphic Arts (AIGA) | 50 Books/50 Covers	Architecture - Articles-Focused	Wired | Wired Innovation Fellowship	1.0	0.5	4.0
American Institute of Graphic Arts (AIGA)	50 Books/50 Covers	Christopher Sleboda	2012	Sleboda, Christopher	Not Designated	13	2010s	Standard Award	False	American Institute of Graphic Arts (AIGA) | 50 Books/50 Covers	Architecture - Articles-Focused	Wired | Wired Innovation Fellowship	1.0	0.5	4.0
American Institute of Graphic Arts (AIGA)	50 Books/50 Covers	Christopher Sleboda	2019	Sleboda, Christopher	Not Designated	6	2010s	Standard Award	True	American Institute of Graphic Arts (AIGA) | 50 Books/50 Covers	Architecture - Articles-Focused	Wired | Wired Innovation Fellowship	1.0	0.5	4.0
Wenner-Gren Foundation	Dissertation Fieldwork Grant	Scaramelli, Caterina	2013	Scaramelli, Caterina	Not Designated	12	2010s	Standard Award	False	American Council of Learned Societies (ACLS) | ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships)	Area and Ethnic Studies, various - Articles-Focused	Wenner-Gren Foundation | Dissertation Fieldwork Grant	1.0	0.0559999999999999	0.0
National Academies, The	Ford Foundation Fellowships/Predoctoral	Medina, Michael Alan	2016	Medina, Michael Alan	Not Designated	9	2010s	Standard Award	True	Modern Language Association | Humanities Innovation Grants	English Language and Literature	National Academies, The | Ford Foundation Fellowships/Predoctoral	1.0	0.2	0.0
Association of University Radiologists	GERRAF Fellow	Clare Poynton	2022	Poynton, Clare	Not Designated	3	2020s	Standard Award	True	American Institute for Medical and Biological Engineering | Fellow	Applied Physics	Association of University Radiologists | GERRAF Fellow	1.0	0.083	4.0
American Cancer Society	Institutional Research Grants (IRG)	Dries, Ruben	2023	Dries, Ruben	Not Designated	2	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cancer Biology	American Cancer Society | Institutional Research Grants (IRG)	1.0	0.091	42.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Chemistry	Dyke, Thomas	1977	Van Dyke, Thomas	Prestigious	48	1970s	Notable Award	False	Academy of Diagnostics & Laboratory Medicine | Outstanding Scientific Achievements by a Young Investigator	Bioinformatics and Computational Biology	Alfred P. Sloan Foundation | Sloan Research Fellowship-Chemistry	1.0	1.0	6.0
American Association for the Advancement of Science, The (AAAS)	AAAS Fellow	Thomas E. Van Dyke	2015	Van Dyke, Thomas	Prestigious	10	2010s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	1.0	0.5	27.0
American Association for Dental Research	The William J. Gies Award	Thomas E. Van Dyke	2016	Van Dyke, Thomas	Not Designated	9	2010s	Standard Award	True	American Academy of Periodontology | Distinguished Scientist Award	Oral Biology and Craniofacial Science	American Association for Dental Research | The William J. Gies Award	1.0	0.5	43.0
American Association for Dental Research	AADR Fellows	Thomas Van Dyke?	2019	Van Dyke, Thomas	Not Designated	6	2010s	Standard Award	True	ADEAGies Foundation | Gies Award for Outstanding Innovation, Dental Educator	Materials Science and Engineering	American Association for Dental Research | AADR Fellows	1.0	1.0	22.0
American Academy of Periodontology	Special Citation	Thomas E. Van Dyke	2008	Van Dyke, Thomas	Not Designated	17	2000s	Standard Award	False	American Academy of Periodontology | Clinical Research Award	Oral Biology and Craniofacial Science	American Academy of Periodontology | Special Citation	1.0	0.5	5.0
American Academy of Periodontology	Norton M. Ross Award	Thomas E. Van Dyke	2002	Van Dyke, Thomas	Not Designated	23	2000s	Standard Award	False	American Academy of Periodontology | Distinguished Scientist Award	Oral Biology and Craniofacial Science	American Academy of Periodontology | Norton M. Ross Award	1.0	0.5	29.0
American Academy of Periodontology	Distinguished Scientist Award	Thomas Van Dyke	2021	Van Dyke, Thomas	Not Designated	4	2020s	Standard Award	True	Academy of Behavioral Medicine Research | Lifetime Achievement Award	Biomedical Engineering	Society of Behavioral Medicine | Distinguished Scientist Award	1.0	1.0	33.0
American Dental Association	Norton M. Ross Award for Excellence in Clinical Research	Thomas E. Van Dyke	2002	Van Dyke, Thomas	Not Designated	23	2000s	Standard Award	False	American Academy of Periodontology | Distinguished Scientist Award	Oral Biology and Craniofacial Science	American Dental Association | Norton M. Ross Award for Excellence in Clinical Research	1.0	0.5	29.0
American Academy of Periodontology	William J. Gies Award	Thomas E. Van Dyke	2008	Van Dyke, Thomas	Not Designated	17	2000s	Standard Award	False	American Academy of Periodontology | Clinical Research Award	Oral Biology and Craniofacial Science	American Academy of Periodontology | William J. Gies Award	1.0	0.5	10.0
Academy of Social Sciences	Academy of Social Sciences Fellow	Benjamin K. Sovacool	2020	Sovacool, Benjamin	Not Designated	5	2020s	Standard Award	True	Academy of Social Sciences | Academy of Social Sciences Fellow	Public Health	Association for Psychological Science | APS Rising Star	1.0	1.0	5.0
Academia Europaea	Member of the Academia Europaea	Sovacool, Benjamin	2020	Sovacool, Benjamin	Not Designated	5	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	Society for Biomaterials | Founders Award	1.0	0.5	23.0
National Institutes of Health (NIH)	NIH Pathway to Independence Award (K99/R00)	WALLACE, MICHAEL L	2018	Wallace, Michael L	Not Designated	7	2010s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Agricultural/Biological Engineering and Bioengineering	National Institutes of Health (NIH) | NIH Pathway to Independence Award (K99/R00)	2.0	0.4	5.5
Brain and Behavior Research Foundation	BBRF Young Investigator Grant	Michael L. Wallace	2021	Wallace, Michael L	Not Designated	4	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Medical Sciences, various	Brain and Behavior Research Foundation | BBRF Young Investigator Grant	1.0	0.1	7.0
Northern Finance Association	PhD Paper Award	Leyla Jianyu Han	2021	Han, Leyla Jianyu	Not Designated	4	2020s	Standard Award	True						
Western Finance Association	PhD Candidate Awards for Outstanding Research	Leyla Jianyu Han	2020	Han, Leyla Jianyu	Not Designated	5	2020s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Economics	Economics, General	Western Finance Association | PhD Candidate Awards for Outstanding Research	2.0	0.074	0.0
National Communication Association	Political Communication Division/Michael Pfau Outstanding Article Award	Chris Chao Su	2021	Su, Chao	Not Designated	4	2020s	Standard Award	True	American Political Science Association | Political Communication Section/Walter Lippmann Best Published Article Award	Communication and Communication Studies - Articles-Focused	National Communication Association | Political Communication Division/Michael Pfau Outstanding Article Award	2.0	1.0	9.5
Alfred P. Sloan Foundation	Sloan Research Fellowship-Physics	Alexander Sushkov	2016	Sushkov, Alexander	Prestigious	9	2010s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Physics	1.0	0.5	2.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Sushkov, Alexander	2021	Sushkov, Alexander	Prestigious	4	2020s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Gordon and Betty Moore Foundation	Experimental Physics Investigators Initiative	Alexander Sushkov	2023	Sushkov, Alexander	Not Designated	2	2020s	Standard Award	True	American Physical Society | APS Fellow	Mechanical Engineering	Gordon and Betty Moore Foundation | Experimental Physics Investigators Initiative	1.0	0.048	14.0
American Counseling Association	Courtland C Lee Multicultural Excellence Scholarship Award	Seungbin Oh	2018	Oh, Seungbin	Not Designated	7	2010s	Standard Award	True	American Counseling Association | Fellow	Counselor Education	American Counseling Association | Courtland C Lee Multicultural Excellence Scholarship Award	1.0	0.071	0.0
American Counseling Association	Association for Specialists in Group Work (ASGW)/Al Dye Award	Seungbin Oh	2019	Oh, Seungbin	Not Designated	6	2010s	Standard Award	True	American Counseling Association | Association for Specialists in Group Work (ASGW)/Al Dye Award	Education, General	American Counseling Association | Fellow	1.0	1.0	11.0
American Counseling Association	ACA Research Award	Seungbin Oh	2023	Oh, Seungbin	Not Designated	2	2020s	Standard Award	True	American Counseling Association | ACA Extended Research Award	Educational Evaluation and Research	American Counseling Association | ACA Research Award	1.0	1.0	3.0
Air Force Office of Scientific Research (AFOSR)	Young Investigator Program (YIP)	Lubner, Sean	2024	Lubner, Sean	Not Designated	1	2020s	Standard Award	True	Acoustical Society of America | Fellow	Neurobiology/Neuroscience	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	1.0	0.3329999999999999	5.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Birenbaum Quintero, Michael A.	2004	Birenbaum Quintero, Michael	Not Designated	21	2000s	Standard Award	False	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Birenbaum Quintero, Michael	2013	Birenbaum Quintero, Michael	Prestigious	12	2010s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
Society for Ethnomusicology	Deborah Wong Research and Publication Award	Michael Birenbaum Quintero	2014	Birenbaum Quintero, Michael	Not Designated	11	2010s	Standard Award	False	Association for Asian Studies | AAS NEAC Japan Studies Grants	Asian Languages	Society for Ethnomusicology | Deborah Wong Research and Publication Award	1.0	0.067	4.0
American Musicological Society, Inc.	AMS Subventions for Publications for Individuals or Scholarly Organizations, Societies, and Departments	Michael Birenbaum Quintero	2018	Birenbaum Quintero, Michael	Not Designated	7	2010s	Standard Award	True	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	Music, General	American Musicological Society, Inc. | AMS Subventions for Publications for Individuals or Scholarly Organizations, Societies, and Departments	1.0	1.0	6.0
Urban History Association	Michael Katz Award for Best Dissertation in Urban History	Andrew Robichaud	2015	Robichaud, Andrew	Not Designated	10	2010s	Standard Award	True	Conference on Latin American History | Lewis Hanke Post-Doctoral Award	History	Urban History Association | Michael Katz Award for Best Dissertation in Urban History	1.0	1.0	0.0
American Accounting Association	Financial Accounting and Reporting Section/Excellence in Reviewing Awards	Jesse Chan	2022	Chan, Jesse	Not Designated	3	2020s	Standard Award	True	Academy of Management | Fellows Group of the Academy of Management/Responsible Research Award	Accounting	American Accounting Association | Financial Accounting and Reporting Section/Excellence in Reviewing Awards	1.0	1.0	1.0
Brain and Behavior Research Foundation	BBRF Young Investigator Grant	Tuan Leng Tay	2022	Tay, Tuan Leng	Not Designated	3	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Medical Sciences, various	Brain and Behavior Research Foundation | BBRF Young Investigator Grant	1.0	0.1	7.0
Grass Foundation	Grass Fellowship	Meg Younger	2014	Younger, Meg	Not Designated	11	2010s	Standard Award	False	Alfred P. Sloan Foundation | Sloan Research Fellowship-Neuroscience	Neurobiology/Neuroscience	Grass Foundation | Grass Fellowship	1.0	0.026	0.0
Searle Scholars	Searle Scholars	Meg A. Younger	2022	Younger, Meg	Prestigious	3	2020s	Notable Award	True	Agilent | Agilent Thought Leader Award	Biophysics	Searle Scholars | Searle Scholars	1.0	1.0	1.0
Esther A. and Joseph Klingenstein Fund	Klingenstein-Simons Fellowship Awards in the Neurosciences	Meg Younger	2022	Younger, Meg	Not Designated	3	2020s	Standard Award	True	Alex's Lemonade Stand Foundation for Childhood Cancer | Innovation Grants	Biochemistry	Esther A. and Joseph Klingenstein Fund | Klingenstein-Simons Fellowship Awards in the Neurosciences	1.0	0.2	11.0
Pew Charitable Trusts, The	Pew Scholars in the Biomedical Sciences	Meg Younger	2024	Younger, Meg	Prestigious	1	2020s	Notable Award	True	Alex's Lemonade Stand Foundation for Childhood Cancer | Innovation Grants	Biochemistry	Pew Charitable Trusts, The | Pew Scholars in the Biomedical Sciences	1.0	0.2	10.0
Health Resources in Action	Smith Family Awards Program for Excellence in Biomedical Research	Meg Younger	2023	Younger, Meg	Not Designated	2	2020s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Neuroscience	Biology/Biological Sciences, General	Health Resources in Action | Smith Family Awards Program for Excellence in Biomedical Research	1.0	0.111	8.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Neuroscience	Meg Younger	2024	Younger, Meg	Prestigious	1	2020s	Notable Award	True	Acoustical Society of America | Interdisciplinary Silver Medal	Biomedical Engineering	Alfred P. Sloan Foundation | Sloan Research Fellowship-Neuroscience	1.0	1.0	6.0
American Cancer Society	Institutional Research Grants (IRG)	Pratt, Erica	2024	Pratt, Erica	Not Designated	1	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cancer Biology	American Cancer Society | Institutional Research Grants (IRG)	1.0	0.091	42.0
American Cancer Society	Institutional Research Grants (IRG)	Pratt, Erica	2023	Pratt, Erica	Not Designated	2	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cancer Biology	American Cancer Society | Institutional Research Grants (IRG)	1.0	0.091	42.0
American Cancer Society	Institutional Research Grants (IRG)	Teplensky, Michelle	2024	Teplensky, Michelle H	Not Designated	1	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cancer Biology	American Cancer Society | Institutional Research Grants (IRG)	1.0	0.091	42.0
American Institute of Chemical Engineers (AIChE)	Young Professionals Committee (YPC)/AIChE's 35 Under 35	Michelle Teplensky	2023	Teplensky, Michelle H	Not Designated	2	2020s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	Chemical Engineering	American Institute of Chemical Engineers (AIChE) | Young Professionals Committee (YPC)/AIChE's 35 Under 35	1.0	0.1669999999999999	3.0
Hartwell Foundation	Individual Biomedical Research Awards	Michelle Teplensky	2023	Teplensky, Michelle H	Not Designated	2	2020s	Standard Award	True	Amazon | Amazon Research Awards	Biochemistry	Hartwell Foundation | Individual Biomedical Research Awards	1.0	0.5	8.0
Arnold and Mabel Beckman Foundation	Beckman Young Investigators (BYI)	Michelle Teplensky	2024	Teplensky, Michelle H	Prestigious	1	2020s	Notable Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Agricultural/Biological Engineering and Bioengineering	Arnold and Mabel Beckman Foundation | Beckman Young Investigators (BYI)	1.0	0.2	6.0
American Association of Immunologists	AAI Early Career Faculty Travel Grant	Adriana Tomic	2023	Tomic, Adriana	Not Designated	2	2020s	Standard Award	True	American Association for Cancer Research | AACR Team Science Award	Cancer Biology	American Association of Immunologists | AAI Early Career Faculty Travel Grant	1.0	0.091	15.0
National Institutes of Health (NIH)	National Institute on Drug Abuse (NIDA)/Director?s Travel Award to CPDD	Noel A. Vest	2020	Vest, Noel	Not Designated	5	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Biomedical Sciences, General	National Institutes of Health (NIH) | National Institute on Drug Abuse (NIDA)/DirectorÕs Travel Award to CPDD	1.0	1.0	0.0
National Institutes of Health (NIH)	National Institute on Drug Abuse (NIDA)/Director?s Travel Award to CPDD	Noel Vest	2021	Vest, Noel	Not Designated	4	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Biomedical Sciences, General	National Institutes of Health (NIH) | National Institute on Drug Abuse (NIDA)/DirectorÕs Travel Award to CPDD	1.0	1.0	0.0
National Institutes of Health (NIH)	National Institute on Drug Abuse (NIDA)/Director?s Travel Award to CPDD	Noel Vest	2022	Vest, Noel	Not Designated	3	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Biomedical Sciences, General	National Institutes of Health (NIH) | National Institute on Drug Abuse (NIDA)/DirectorÕs Travel Award to CPDD	1.0	1.0	0.0
International Union Against Tuberculosis and Lung Disease (The Union)	Union Young Investigator Prize	Leonardo Martinez	2020	Martinez, Leonardo	Not Designated	5	2020s	Standard Award	True	Bill and Melinda Gates Foundation | Gates Global Grand Challenges	Environmental Sciences	International Union Against Tuberculosis and Lung Disease (The Union) | Union Young Investigator Prize	1.0	1.0	8.0
National Institutes of Health (NIH)	NIH Director?s Early Independence Award (DP5)	Willis, Mary	2022	Willis, Mary	Not Designated	3	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Agricultural/Biological Engineering and Bioengineering	National Institutes of Health (NIH) | NIH DirectorÕs Early Independence Award (DP5)	1.0	0.2	9.0
Robert Wood Johnson Foundation	Health Policy Research Scholar	Kevin Nguyen	2018	Nguyen, Kevin	Not Designated	7	2010s	Standard Award	True	American Sociological Association | Social Psychology Section/Graduate Student Paper Award	Sociology - Articles-Focused	Robert Wood Johnson Foundation | Health Policy Research Scholar	1.0	1.0	1.0
American Heart Association (AHA)	Career Development Award	Walker, Maura	2020	Walker, Maura	Not Designated	5	2020s	Standard Award	True	Agilent | Agilent Thought Leader Award	Molecular Pharmacology	American Society of Clinical Oncology (ASCO) | Career Development Award	1.0	1.0	10.0
The Japan Foundation	Japanese Studies Fellowships	HUA, Rui	2016	Hua, Rui	Not Designated	9	2010s	Standard Award	True	American Council of Learned Societies (ACLS) | ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships)	History	The Japan Foundation | Japanese Studies Fellowships	1.0	0.018	10.0
Institute for Operations Research and the Management Sciences (INFORMS)	Information Systems Society/Nunamaker-Chen Dissertation Award	Meizi Zhou	2023	Zhou, Meizi	Not Designated	2	2020s	Standard Award	True	Amazon | Amazon Research Awards	Business Administration	Institute for Operations Research and the Management Sciences (INFORMS) | Information Systems Society/Nunamaker-Chen Dissertation Award	1.0	1.0	1.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Sabelhaus, Andrew	2024	Sabelhaus, Andrew	Prestigious	1	2020s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
National Academies, The	Ford Foundation Fellowships/Predoctoral	Slaughter, Christine Marie	2016	Slaughter, Christine	Not Designated	9	2010s	Standard Award	True	Modern Language Association | Humanities Innovation Grants	English Language and Literature	National Academies, The | Ford Foundation Fellowships/Predoctoral	1.0	0.2	0.0
University of California, Los Angeles	Institute of American Cultures/Graduate and Predoctoral Fellowship in Ethnic Studies	Christine Slaughter	2020	Slaughter, Christine	Not Designated	5	2020s	Standard Award	True						
National Academies, The	Ford Foundation Fellowships/Dissertation	Slaughter, Christine Marie	2020	Slaughter, Christine	Not Designated	5	2020s	Standard Award	True	American Sociological Association | Social Psychology Section/Graduate Student Paper Award	Sociology - Articles-Focused	National Academies, The | Ford Foundation Fellowships/Dissertation	1.0	1.0	6.0
American College of Neuropsychopharmacology	ACNP Travel Award	Heidi Meyer	2020	Meyer, Heidi	Not Designated	5	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Anatomy	National Institutes of Health (NIH) | NIH Pathway to Independence Award (K99/R00)	3.0	0.6	4.0
Brain and Behavior Research Foundation	BBRF Young Investigator Grant	Heidi Catherine Meyer	2023	Meyer, Heidi	Not Designated	2	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Medical Sciences, various	Brain and Behavior Research Foundation | BBRF Young Investigator Grant	1.0	0.1	7.0
Academy of Social Sciences	Academy of Social Sciences Fellow	Loretta Lees	2013	Lees, Loretta Conway	Not Designated	12	2010s	Standard Award	False	Academy of Social Sciences | Academy of Social Sciences Fellow	Public Health	Association for Psychological Science | APS Rising Star	1.0	1.0	5.0
Academia Europaea	Member of the Academia Europaea	Lees, Loretta	2022	Lees, Loretta Conway	Not Designated	3	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	Society for Biomaterials | Founders Award	1.0	0.5	23.0
Urban Affairs Association	Marilyn J. Gittell Activist Scholar Award	Loretta Lees	2022	Lees, Loretta Conway	Not Designated	3	2020s	Standard Award	True	American Political Science Association | Race, Ethnicity and Politics Section/Best Book Award	Education, General	Urban Affairs Association | Marilyn J. Gittell Activist Scholar Award	1.0	1.0	5.0
Louisville Institute	Doctoral Fellowship	Eunil David Cho	2016	Cho, Eunil	Not Designated	9	2010s	Standard Award	True	Louisville Institute | First Book Grant for Scholars of Color	Religion/Religious Studies	Louisville Institute | Postdoctoral Fellowship	1.0	0.5	1.0
Louisville Institute	Postdoctoral Fellowship	Eunil David Cho	2020	Cho, Eunil	Not Designated	5	2020s	Standard Award	True	Louisville Institute | First Book Grant for Scholars of Color	Religion/Religious Studies	Louisville Institute | Postdoctoral Fellowship	1.0	0.5	1.0
American Academy of Periodontology	Dr. D. Walter Cohen Teaching Award	Chiho Ahn	2021	Ahn, Chiho	Not Designated	4	2020s	Standard Award	True	American Association for Cancer Research | AACR-Bayer Innovation and Discovery Grant	Biomedical Sciences, General	American Academy of Periodontology | Dr. D. Walter Cohen Teaching Award	1.0	0.5	2.0
American Academy of Periodontology	AAP Foundation Fellowships to the Institute for Teaching and Learning in the Health Professions	Erin Breen	2021	Breen, Erin	Not Designated	4	2020s	Standard Award	True	American Academy of Periodontology | AAP Foundation Fellowships to the Institute for Teaching and Learning in the Health Professions	Oral Biology and Craniofacial Science	American Academy of Periodontology | AAP Educator Scholarship	2.0	0.667	6.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Kasberg, Robert H.	1990	Kasberg, Robert	Not Designated	35	1990s	Standard Award	False	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
Harry S. Truman Scholarship Foundation	Scholars	Robert Kasberg	1985	Kasberg, Robert	Not Designated	40	1980s	Standard Award	False	American Economic Association | Distinguished Fellows	Applied Economics	Harry S. Truman Scholarship Foundation | Scholars	1.0	1.0	21.0
National Institutes of Health (NIH)	NIH Pathway to Independence Award (K99/R00)	Shenoy, Anukul	2022	Shenoy, Anukul	Not Designated	3	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Agricultural/Biological Engineering and Bioengineering	National Institutes of Health (NIH) | NIH Pathway to Independence Award (K99/R00)	2.0	0.4	5.5
American Cancer Society	Institutional Research Grants (IRG)	Zhang, Chao	2024	Zhang, Chao	Not Designated	1	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cancer Biology	American Cancer Society | Institutional Research Grants (IRG)	1.0	0.091	42.0
National Institutes of Health (NIH)	NIH Pathway to Independence Award (K99/R00)	SASAMOTO, YUZURU 	2020	Sasamoto, Yuzuru	Not Designated	5	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Agricultural/Biological Engineering and Bioengineering	National Institutes of Health (NIH) | NIH Pathway to Independence Award (K99/R00)	2.0	0.4	5.5
Association for Computing Machinery (ACM)	SIGCHI/Best of CHI Paper Awards	Allison McDonald	2018	Mcdonald, Allison	Not Designated	7	2010s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Computer Science	Computer Science	Association for Computing Machinery (ACM) | SIGCHI/Best of CHI Paper Awards	1.0	0.016	3.0
USENIX (Advanced Computing Systems Association)	Best Paper Awards	Allison McDonald	2021	Mcdonald, Allison	Not Designated	4	2020s	Standard Award	True	Academy of Financial Services | Best Paper Awards	Finance	Jacobs Levy Equity Management | Bernstein Fabozzi/Jacobs Levy Award Outstanding Article	1.0	1.0	7.0
American College of Neuropsychopharmacology	ACNP Travel Award	Stephanie Puig	2024	Puig, Stephanie	Not Designated	1	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Anatomy	National Institutes of Health (NIH) | NIH Pathway to Independence Award (K99/R00)	3.0	0.6	4.0
National Aeronautics and Space Administration (NASA)	Hubble Fellows	Dillon Brout	2019	Brout, Dillon	Not Designated	6	2010s	Standard Award	True	Alexander Von Humboldt Foundation | Humboldt Research Award	Astronomy and Astrophysics	National Aeronautics and Space Administration (NASA) | Hubble Fellows	1.0	0.2	3.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Physics	Chuanfei Dong	2024	Dong, Chuanfei	Prestigious	1	2020s	Notable Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Physics	1.0	0.5	2.0
Department of Energy	Early Career Research Award	Chuanfei Dong	2023	Dong, Chuanfei	Not Designated	2	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Biochemistry	Department of Energy | Early Career Research Award	1.0	0.25	13.0
