awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,"Glashow, Sheldon Lee",1974,"GLASHOW, SHELDON L",Boston University,Highly Prestigious,2024-12-06
Nobel Foundation,Nobel Prize-Physics,Sheldon Lee Glashow,1979,"GLASHOW, SHELDON L",Boston University,Highly Prestigious,2024-12-06
National Academy of Sciences,Member of the National Academy of Sciences (NAS Member),Sheldon Glashow,1977,"GLASHOW, SHELDON L",Boston University,Highly Prestigious,2024-12-06
American Philosophical Society,American Philosophical Society Membership,Sheldon Lee Glashow,2002,"GLASHOW, SHELDON L",Boston University,Highly Prestigious,2024-12-06
Russian Academy of Sciences,Foreign members,"Glashow, Sheldon Lee",1994,"GLASHOW, SHELDON L",Boston University,Not Designated,2024-12-06
American Philosophical Society,Sabbatical Fellowships,"Floyd, Juliet",2003,"FLOYD, JULIET",Boston University,Highly Prestigious,2024-12-06
American Academy in Berlin,Berlin Prize Fellow,Juliet Floyd,2008,"FLOYD, JULIET",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Juliet Floyd,1998,"FLOYD, JULIET",Boston University,Highly Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Floyd, Juliet",2003,"FLOYD, JULIET",Boston University,Prestigious,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,Juliet H. Floyd,1992,"FLOYD, JULIET",Boston University,Not Designated,2024-12-06
Whiting Foundation,Dissertation Fellowship,Juliet Floyd,1989,"FLOYD, JULIET",Boston University,Not Designated,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Juliet Floyd,2016,"FLOYD, JULIET",Boston University,Not Designated,2024-12-06
"Minerals, Metals and Materials Society, The",LMD/EPD Energy Best Paper Award - Professional,Srikanth Gopalan,2023,"GOPALAN, SRIKANTH",Boston University,Not Designated,2024-12-06
Society for Classical Studies,SCS Outreach Prize,Herbert Golder,2003,"GOLDER, HERBERT A",Boston University,Prestigious,2024-12-06
American Society of Mechanical Engineers (ASME),Materials Handling Engineering Division (MHED)/Best Paper Award,Sheryl M. Grace,1996,"GRACE, SHERYL M",Boston University,Not Designated,2024-12-06
INSIGHT Into Diversity,Inspiring Women in STEM Award,Sheryl Grace,2016,"GRACE, SHERYL M",Boston University,Not Designated,2024-12-06
American Institute of Aeronautics and Astronautics,AIAA Associate Fellow,Sheryl M Grace,1900,"GRACE, SHERYL M",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Neuroscience,Frank H. Guenther,1995,"GUENTHER, FRANK H",Boston University,Prestigious,2024-12-06
Acoustical Society of America,Fellow,Frank H. Guenther,2008,"GUENTHER, FRANK H",Boston University,Not Designated,2024-12-06
American Speech-Language-Hearing Association,Editor?s Award,F. H. Guenther,2008,"GUENTHER, FRANK H",Boston University,Not Designated,2024-12-06
American Speech-Language-Hearing Association,Editor?s Award,F. H. Guenther,2008,"GUENTHER, FRANK H",Boston University,Not Designated,2024-12-06
Society for Social Work and Research,SSWR Fellow,Hyeouk Hahm,2015,"HAHM, HYEOUK C",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Mathematics,"Hall, Glen",1986,"HALL, GLEN RICHARD",Boston University,Prestigious,2024-12-06
University of Hawaii,Hawaii International Conference on System Sciences (HICSS)/Best Paper Awards,Bin Gu,2017,"GU, BIN",Boston University,Not Designated,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Information Systems Society/Distinguished Fellow,Bin Gu,2022,"GU, BIN",Boston University,Not Designated,2024-12-06
Association for Information Systems,AIS Distinguished Member/Distinguished Member-Cum Laude,Bin Gu,2021,"GU, BIN",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Independent Investigator Grant,Bernard L. Harlow,2003,"HARLOW, BERNARD LESLIE",Boston University,Not Designated,2024-12-06
Chiang Ching-Kuo Foundation,Research Grants,Catherine L. Harris,2006,"CALDWELL-HARRIS, CATHERINE L",Boston University,Prestigious,2024-12-06
James S. McDonnell Foundation,McDonnell-Pew Program in Cognitive Neuroscience,Catherine L. Harris,1994,"CALDWELL-HARRIS, CATHERINE L",Boston University,Not Designated,2024-12-06
Association for Psychological Science,Fellow,Michael E Hasselmo,2010,"HASSELMO, MICHAEL E",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Michael E Hasselmo,2011,"HASSELMO, MICHAEL E",Boston University,Prestigious,2024-12-06
"Rhodes Trust, The",Rhodes Scholar,Michael Hasselmo,1984,"HASSELMO, MICHAEL E",Boston University,Not Designated,2024-12-06
Office of Naval Research (ONR),Young Investigator Program Award (YIP),Michael Hasselmo,1993,"HASSELMO, MICHAEL E",Boston University,Prestigious,2024-12-06
American Psychological Association,Division 6-Behavioral Neuroscience and Comparative Psychology-D. G. Marquis Behavioral Neuroscience Award,M. Hasselmo,2001,"HASSELMO, MICHAEL E",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,"Hasselmo, Michael E.",2018,"HASSELMO, MICHAEL E",Boston University,Highly Prestigious,2024-12-06
International Neural Network Society,Donald O. Hebb Award,Michael E. Hasselmo,2015,"HASSELMO, MICHAEL E",Boston University,Not Designated,2024-12-06
Memory Disorders Research Society,Member,Mike Hasselmo,2020,"HASSELMO, MICHAEL E",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Robert Hefner,1991,"HEFNER, ROBERT W",Boston University,Highly Prestigious,2024-12-06
"American Society for the Study of Religion, The",Member,Robert Hefner,1900,"HEFNER, ROBERT W",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Heimarck, Brita R.",1984,"HEIMARCK, BRITA R",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"HERBORDT, MARTIN",1997,"HERBORDT, MARTIN C",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Mark W. Grinstaff,2010,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
National Academy of Inventors,NAI Fellow,"Grinstaff, Mark W",2012,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
"Pew Charitable Trusts, The",Pew Scholars in the Biomedical Sciences,Mark W. Grinstaff,1999,"GRINSTAFF, MARK W",Boston University,Prestigious,2024-12-06
American Chemical Society,Nobel Laureate Signature Award for Graduate Education in Chemistry,Mark W. Grinstaff,1994,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Chemistry,Mark W. Grinstaff,2000,"GRINSTAFF, MARK W",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"GRINSTAFF, MARK",1999,"GRINSTAFF, MARK W",Boston University,Prestigious,2024-12-06
The Camille and Henry Dreyfus Foundation,Camille Dreyfus Teacher-Scholar Award,Mark W. Grinstaff,2000,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Mark Grinstaff,2000,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
Society for Biomaterials,Clemson Award for Applied Research,Mark Grinstaff,2018,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
Biomedical Engineering Society,BMES Fellow,"Grinstaff, Mark",2019,"GRINSTAFF, MARK W",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Mark?W.?Grinstaff,2021,"GRINSTAFF, MARK W",Boston University,Prestigious,2024-12-06
American Chemical Society,ACS Award in Applied Polymer Science,Mark W. Grinstaff,2023,"GRINSTAFF, MARK W",Boston University,Prestigious,2024-12-06
Arnold and Mabel Beckman Foundation,Beckman Young Investigators (BYI),Alla Grishok,2008,"GRISHOK, ALLA",Boston University,Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Director?s New Innovator Award (DP2),"GRISHOK, ALLA",2009,"GRISHOK, ALLA",Boston University,Not Designated,2024-12-06
Damon Runyon Cancer Research Foundation,Damon Runyon Fellowship,Alla Grishok,2002,"GRISHOK, ALLA",Boston University,Not Designated,2024-12-06
IEEE Computer Society,Certificate of Appreciation,Prakash Ishwar,2013,"ISHWAR, PRAKASH",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Prakash Ishwar,2017,"ISHWAR, PRAKASH",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Prakash  Ishwar,2005,"ISHWAR, PRAKASH",Boston University,Prestigious,2024-12-06
Biophysical Society,Agnes Pockels Award in Lipids and Membrane Biophysics,James A. Hamilton,2010,"HAMILTON, JAMES A",Boston University,Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Deborah Kahn,2004,"KAHN, DEBORAH",Boston University,Highly Prestigious,2024-12-06
Society of Antiquaries,Fellow,Deborah Kahn,1984,"KAHN, DEBORAH",Boston University,Not Designated,2024-12-06
Jewish Book Council,National Jewish Book Award,Steven T. Katz,2007,"KATZ, STEVEN T",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Steven T. Katz,2001,"KATZ, STEVEN T",Boston University,Highly Prestigious,2024-12-06
American Philosophical Association,APA Baumgardt Memorial Fellowship,Steven Katz,1982,"KATZ, STEVEN T",Boston University,Prestigious,2024-12-06
United States Holocaust Memorial Museum,Fellows and Scholars,Steven Katz,2011,"KATZ, STEVEN T",Boston University,Not Designated,2024-12-06
American Academy for Jewish Research (AAJR),Fellow,Steven Katz,1900,"KATZ, STEVEN T",Boston University,Not Designated,2024-12-06
Association of American Publishers,Category Award/World History,Steven T. Katz,2020,"KATZ, STEVEN T",Boston University,Not Designated,2024-12-06
"American Society for the Study of Religion, The",Member,Steven T. Katz,1900,"KATZ, STEVEN T",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Kearns, Edward",2007,"KEARNS, EDWARD",Boston University,Not Designated,2024-12-06
Breakthrough Prizes,Breakthrough Prize in Fundamental Physics,Edward Kearns,2016,"KEARNS, EDWARD",Boston University,Not Designated,2024-12-06
American Physical Society,WKH Panofsky Prize in Experimental Particle Physics,Edward Kearns,2021,"KEARNS, EDWARD",Boston University,Prestigious,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,"Henderson, Jeffrey J.",2011,"HENDERSON, JEFFREY J",Boston University,Highly Prestigious,2024-12-06
Society for Classical Studies,Goodwin Award of Merit,Jeffrey Henderson,2001,"HENDERSON, JEFFREY J",Boston University,Highly Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Jeffrey Henderson,1997,"HENDERSON, JEFFREY J",Boston University,Highly Prestigious,2024-12-06
American Statistical Association,ASA Fellow,ERIC KOLACZYK,2011,"KOLACZYK, ERIC D",Boston University,Not Designated,2024-12-06
International Statistical Institute (ISI),Elected Member,"Kolaczyk, Eric",1900,"KOLACZYK, ERIC D",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Eric D. Kolaczyk,2017,"KOLACZYK, ERIC D",Boston University,Prestigious,2024-12-06
Institute of Mathematical Statistics,IMS Fellows,Eric D. Kolaczyk,2017,"KOLACZYK, ERIC D",Boston University,Not Designated,2024-12-06
American Statistical Association,Boston Chapter/Statistician of the Year Award,Eric Kolaczyk,2020,"KOLACZYK, ERIC D",Boston University,Not Designated,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Janusz Konrad,2008,"KONRAD, JANUSZ",Boston University,Not Designated,2024-12-06
IEEE Computer Society,Certificate of Appreciation,Janusz Konrad,2013,"KONRAD, JANUSZ",Boston University,Not Designated,2024-12-06
IEEE Signal Processing Society,Distinguished Lecturer,Janusz Konrad,2019,"KONRAD, JANUSZ",Boston University,Not Designated,2024-12-06
European Association for Signal Processing (EURASIP),Image Communication Best Paper Award,Janusz Konrad,2004,"KONRAD, JANUSZ",Boston University,Not Designated,2024-12-06
Society for Industrial and Applied Mathematics (SIAM),SIAM Fellow,Nancy J. Kopell,2009,"KOPELL, NANCY",Boston University,Not Designated,2024-12-06
Society for Industrial and Applied Mathematics (SIAM),Jurgen Moser Lecture,Nancy Kopell,2013,"KOPELL, NANCY",Boston University,Prestigious,2024-12-06
National Academy of Sciences,Member of the National Academy of Sciences (NAS Member),Nancy Kopell,1996,"KOPELL, NANCY",Boston University,Highly Prestigious,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,Nancy Jane Kopell,1996,"KOPELL, NANCY",Boston University,Highly Prestigious,2024-12-06
MacArthur Foundation,MacArthur Fellow,Nancy Kopell,1990,"KOPELL, NANCY",Boston University,Highly Prestigious,2024-12-06
Society for Industrial and Applied Mathematics (SIAM),John von Neumann Lectureship,Nancy Kopell,2007,"KOPELL, NANCY",Boston University,Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Nancy Kopell,1984,"KOPELL, NANCY",Boston University,Highly Prestigious,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Mathematics,"Kopell, Nancy",1975,"KOPELL, NANCY",Boston University,Prestigious,2024-12-06
American Mathematical Society,AMS Fellow,Nancy Kopell,2016,"KOPELL, NANCY",Boston University,Not Designated,2024-12-06
Association for Women in Mathematics,Noether Lecture,Nancy Kopell,1992,"KOPELL, NANCY",Boston University,Not Designated,2024-12-06
International Mathematical Union,International Congresses of Mathematicians Plenary and Invited Speakers,Nancy Kopell,2002,"KOPELL, NANCY",Boston University,Not Designated,2024-12-06
Society for Neuroscience,Swartz Prize for Theoretical and Computational Neuroscience,?Nancy Kopell,2016,"KOPELL, NANCY",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,Laurence Kotlikoff,2005,"KOTLIKOFF, LAURENCE",Boston University,Highly Prestigious,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Laurence J. Kotlikoff,1978,"KOTLIKOFF, LAURENCE",Boston University,Not Designated,2024-12-06
"Econometric Society, The",Econometric Society Fellow,LAURENCE J. KOTLIKOFF,1992,"KOTLIKOFF, LAURENCE",Boston University,Not Designated,2024-12-06
National Academy of Social Insurance,Member,Laurence J. Kotlikoff,1900,"KOTLIKOFF, LAURENCE",Boston University,Not Designated,2024-12-06
Next Avenue,Influencers in Aging,Laurence J. Kotlikoff,2015,"KOTLIKOFF, LAURENCE",Boston University,Not Designated,2024-12-06
International Engineering and Technology Institute,Fellow/Distinguished Fellow,Laurence Kotlikoff,2020,"KOTLIKOFF, LAURENCE",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Kalberg, Stephen",1973,"KALBERG, STEPHEN",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Kalberg, Stephen",2013,"KALBERG, STEPHEN",Boston University,Prestigious,2024-12-06
Association for Psychological Science,Fellow,DEB A. KELEMEN,2011,"KELEMEN, DEBORAH A",Boston University,Prestigious,2024-12-06
John Templeton Foundation,Templeton Grants,Deborah Kelemen,2021,"KELEMEN, DEBORAH A",Boston University,Not Designated,2024-12-06
